SURVEY_DATE	PRODUCT_ID	PRODUCT_NAME	PRICE	VAT	EXCISE	NET	CHANGE
3.01.2005	1	Euro-Super 95	1115.75	185.96	558.64	371.15	-1.57
3.01.2005	2	Automotive gas oil	1018.28	169.71	403.21	445.36	-0.33
3.01.2005	3	Heating gas oil	948.5	158.08	403.21	387.21	-22.55
3.01.2005	5	LPG	552.5	92.08	156.62	303.8	0.22
3.01.2005	6	Residual fuel oil	553.25	50.3	166.84	336.11	-12.21
3.01.2005	8	Heavy fuel oil	229.52	0	31.39	198.13	-5.37
10.01.2005	1	Euro-Super 95	1088	181.33	558.64	348.03	-27.75
10.01.2005	2	Automotive gas oil	1004.39	167.4	403.21	433.78	-13.89
10.01.2005	3	Heating gas oil	947.94	157.99	403.21	386.74	-0.56
10.01.2005	5	LPG	552.57	92.09	156.62	303.86	0.07
10.01.2005	6	Residual fuel oil	554.22	50.38	166.84	337	0.97
10.01.2005	8	Heavy fuel oil	238.37	0	31.39	206.98	8.85
17.01.2005	1	Euro-Super 95	1088.14	181.36	558.64	348.14	0.14
17.01.2005	2	Automotive gas oil	1004.31	167.38	403.21	433.72	-0.08
17.01.2005	3	Heating gas oil	952.42	158.74	403.21	390.47	4.48
17.01.2005	5	LPG	551.88	91.98	156.62	303.28	-0.69
17.01.2005	6	Residual fuel oil	562.78	51.16	166.84	344.78	8.56
17.01.2005	8	Heavy fuel oil	245.89	0	31.39	214.5	7.52
24.01.2005	1	Euro-Super 95	1090.01	181.67	558.64	349.7	1.87
24.01.2005	2	Automotive gas oil	1004.31	167.38	403.21	433.72	0
24.01.2005	3	Heating gas oil	963.98	160.66	403.21	400.11	11.56
24.01.2005	5	LPG	551.88	91.98	156.62	303.28	0
24.01.2005	6	Residual fuel oil	573.42	52.13	166.84	354.45	10.64
24.01.2005	8	Heavy fuel oil	243.84	0	31.39	212.45	-2.05
31.01.2005	1	Euro-Super 95	1132.11	188.68	558.64	384.79	42.1
31.01.2005	2	Automotive gas oil	1022.6	170.43	403.21	448.96	18.29
31.01.2005	3	Heating gas oil	972.95	162.16	403.21	407.58	8.97
31.01.2005	5	LPG	551.88	91.98	156.62	303.28	0
31.01.2005	6	Residual fuel oil	579.23	52.66	166.84	359.73	5.81
31.01.2005	8	Heavy fuel oil	242.53	0	31.39	211.14	-1.31
7.02.2005	1	Euro-Super 95	1135.87	189.31	558.64	387.92	3.76
7.02.2005	2	Automotive gas oil	1022.67	170.44	403.21	449.02	0.07
7.02.2005	3	Heating gas oil	955.66	159.28	403.21	393.17	-17.29
7.02.2005	5	LPG	551.88	91.98	156.62	303.28	0
7.02.2005	6	Residual fuel oil	565.28	51.39	166.84	347.05	-13.95
7.02.2005	8	Heavy fuel oil	250.24	0	31.39	218.85	7.71
14.02.2005	1	Euro-Super 95	1135.88	189.31	558.64	387.93	0.01
14.02.2005	2	Automotive gas oil	1022.46	170.41	403.21	448.84	-0.21
14.02.2005	3	Heating gas oil	963.5	160.58	403.21	399.71	7.84
14.02.2005	5	LPG	551.88	91.98	156.62	303.28	0
14.02.2005	6	Residual fuel oil	567.19	51.56	166.84	348.79	1.91
14.02.2005	8	Heavy fuel oil	246.86	0	31.39	215.47	-3.38
21.02.2005	1	Euro-Super 95	1136.04	189.34	558.64	388.06	0.16
21.02.2005	2	Automotive gas oil	1022.79	170.46	403.21	449.12	0.33
21.02.2005	3	Heating gas oil	968.29	161.38	403.21	403.7	4.79
21.02.2005	5	LPG	551.88	91.98	156.62	303.28	0
21.02.2005	6	Residual fuel oil	567.01	51.55	166.84	348.62	-0.18
21.02.2005	8	Heavy fuel oil	242.84	0	31.39	211.45	-4.02
28.02.2005	1	Euro-Super 95	1136.04	189.34	564	382.7	0
28.02.2005	2	Automotive gas oil	1022.85	170.47	413	439.38	0.06
28.02.2005	3	Heating gas oil	989.42	164.9	403.21	421.31	21.13
28.02.2005	5	LPG	551.88	91.98	156.62	303.28	0
28.02.2005	6	Residual fuel oil	571.97	52	166.84	353.13	4.96
28.02.2005	8	Heavy fuel oil	258.17	0	31.39	226.78	15.33
7.03.2005	1	Euro-Super 95	1158.78	193.13	564	401.65	22.74
7.03.2005	2	Automotive gas oil	1047.59	174.6	413	459.99	24.74
7.03.2005	3	Heating gas oil	1012.05	168.67	403.21	440.17	22.63
7.03.2005	5	LPG	552.37	92.06	156.62	303.69	0.49
7.03.2005	6	Residual fuel oil	587.08	53.37	166.84	366.87	15.11
7.03.2005	8	Heavy fuel oil	266.79	0	31.39	235.4	8.62
14.03.2005	1	Euro-Super 95	1185.9	197.65	564	424.25	27.12
14.03.2005	2	Automotive gas oil	1072.72	178.79	413	480.93	25.13
14.03.2005	3	Heating gas oil	1007	167.83	403.21	435.96	-5.05
14.03.2005	5	LPG	553.56	92.26	156.62	304.68	1.19
14.03.2005	6	Residual fuel oil	587.2	53.38	166.84	366.98	0.12
14.03.2005	8	Heavy fuel oil	273.09	0	31.39	241.7	6.3
21.03.2005	1	Euro-Super 95	1185.98	197.66	564	424.32	0.08
21.03.2005	2	Automotive gas oil	1072.86	178.81	413	481.05	0.14
21.03.2005	3	Heating gas oil	1014.9	169.15	403.21	442.54	7.9
21.03.2005	5	LPG	553.56	92.26	156.62	304.68	0
21.03.2005	6	Residual fuel oil	589.28	53.57	166.84	368.87	2.08
21.03.2005	8	Heavy fuel oil	276.86	0	31.39	245.47	3.77
4.04.2005	1	Euro-Super 95	1187.92	197.99	564	425.93	1.94
4.04.2005	2	Automotive gas oil	1074.63	179.1	413	482.53	1.77
4.04.2005	3	Heating gas oil	1025.15	170.86	403.21	451.08	10.25
4.04.2005	5	LPG	553.56	92.26	156.62	304.68	0
4.04.2005	6	Residual fuel oil	603.17	54.83	166.84	381.5	13.89
4.04.2005	8	Heavy fuel oil	289.78	0	31.39	258.39	12.92
11.04.2005	1	Euro-Super 95	1236.35	206.06	564	466.29	48.43
11.04.2005	2	Automotive gas oil	1122.8	187.13	413	522.67	48.17
11.04.2005	3	Heating gas oil	1030.84	171.81	403.21	455.82	5.69
11.04.2005	5	LPG	553.81	92.3	156.62	304.89	0.25
11.04.2005	6	Residual fuel oil	608.22	55.29	166.84	386.09	5.05
11.04.2005	8	Heavy fuel oil	313.53	0	31.39	282.14	23.75
18.04.2005	1	Euro-Super 95	1236.35	206.06	564	466.29	0
18.04.2005	2	Automotive gas oil	1122.8	187.13	413	522.67	0
18.04.2005	3	Heating gas oil	1018.49	169.75	403.21	445.53	-12.35
18.04.2005	5	LPG	553.81	92.3	156.62	304.89	0
18.04.2005	6	Residual fuel oil	602.77	54.8	166.84	381.13	-5.45
18.04.2005	8	Heavy fuel oil	289.2	0	31.39	257.81	-24.33
25.04.2005	1	Euro-Super 95	1234.89	205.81	564	465.08	-1.46
25.04.2005	2	Automotive gas oil	1121.45	186.91	413	521.54	-1.35
25.04.2005	3	Heating gas oil	1016.08	169.35	403.21	443.52	-2.41
25.04.2005	5	LPG	553.81	92.3	156.62	304.89	0
25.04.2005	6	Residual fuel oil	605.23	55.02	166.84	383.37	2.46
25.04.2005	8	Heavy fuel oil	294.82	0	31.39	263.43	5.62
2.05.2005	1	Euro-Super 95	1234.89	205.81	564	465.08	0
2.05.2005	2	Automotive gas oil	1092.92	182.15	413	497.77	-28.53
2.05.2005	3	Heating gas oil	1008.37	168.06	403.21	437.1	-7.71
2.05.2005	5	LPG	553.2	92.2	156.62	304.38	-0.61
2.05.2005	6	Residual fuel oil	600.28	54.57	166.84	378.87	-4.95
2.05.2005	8	Heavy fuel oil	289.41	0	31.39	258.02	-5.41
9.05.2005	1	Euro-Super 95	1215.38	202.56	564	448.82	-19.51
9.05.2005	2	Automotive gas oil	1072.72	178.79	413	480.93	-20.2
9.05.2005	3	Heating gas oil	1000.75	166.79	403.21	430.75	-7.62
9.05.2005	5	LPG	553.2	92.2	156.62	304.38	0
9.05.2005	6	Residual fuel oil	592.43	53.86	166.84	371.73	-7.85
9.05.2005	8	Heavy fuel oil	279.99	0	31.39	248.6	-9.42
16.05.2005	1	Euro-Super 95	1201.12	200.19	564	436.93	-14.26
16.05.2005	2	Automotive gas oil	1062.62	177.1	413	472.52	-10.1
16.05.2005	3	Heating gas oil	986.34	164.39	403.21	418.74	-14.41
16.05.2005	5	LPG	553.2	92.2	156.62	304.38	0
16.05.2005	6	Residual fuel oil	578.27	52.57	166.84	358.86	-14.16
16.05.2005	8	Heavy fuel oil	284.06	0	31.39	252.67	4.07
23.05.2005	1	Euro-Super 95	1186.26	197.71	564	424.55	-14.86
23.05.2005	2	Automotive gas oil	1052.68	175.45	413	464.23	-9.94
23.05.2005	3	Heating gas oil	990.43	165.07	403.21	422.15	4.09
23.05.2005	5	LPG	553.2	92.2	156.62	304.38	0
23.05.2005	6	Residual fuel oil	585.79	53.25	166.84	365.7	7.52
23.05.2005	8	Heavy fuel oil	292.33	0	31.39	260.94	8.27
30.05.2005	1	Euro-Super 95	1186.26	197.71	564	424.55	0
30.05.2005	2	Automotive gas oil	1052.68	175.45	413	464.23	0
30.05.2005	3	Heating gas oil	1001	166.83	403.21	430.96	10.57
30.05.2005	5	LPG	553.2	92.2	156.62	304.38	0
30.05.2005	6	Residual fuel oil	594.08	54.01	166.84	373.23	8.29
30.05.2005	8	Heavy fuel oil	287.22	0	31.39	255.83	-5.11
6.06.2005	1	Euro-Super 95	1197.86	199.64	564	434.22	11.6
6.06.2005	2	Automotive gas oil	1074.55	179.09	413	482.46	21.87
6.06.2005	3	Heating gas oil	1024.37	170.73	403.21	450.43	23.37
6.06.2005	5	LPG	553.2	92.2	156.62	304.38	0
6.06.2005	6	Residual fuel oil	600.94	54.63	166.84	379.47	6.86
6.06.2005	8	Heavy fuel oil	290.06	0	31.39	258.67	2.84
13.06.2005	1	Euro-Super 95	1216.26	202.71	564	449.55	18.4
13.06.2005	2	Automotive gas oil	1102.35	183.72	413	505.63	27.8
13.06.2005	3	Heating gas oil	1039.01	173.17	403.21	462.63	14.64
13.06.2005	5	LPG	553.2	92.2	156.62	304.38	0
13.06.2005	6	Residual fuel oil	610.85	55.53	166.84	388.48	9.91
13.06.2005	8	Heavy fuel oil	292.25	0	31.39	260.86	2.19
20.06.2005	1	Euro-Super 95	1216.44	202.74	564	449.7	0.18
20.06.2005	2	Automotive gas oil	1104.03	184	413	507.03	1.68
20.06.2005	3	Heating gas oil	1050.01	175	403.21	471.8	11
20.06.2005	5	LPG	553.2	92.2	156.62	304.38	0
20.06.2005	6	Residual fuel oil	617.81	56.16	166.84	394.81	6.96
20.06.2005	8	Heavy fuel oil	311.35	0	31.39	279.96	19.1
27.06.2005	1	Euro-Super 95	1231.19	205.2	564	461.99	14.75
27.06.2005	2	Automotive gas oil	1120.85	186.81	413	521.04	16.82
27.06.2005	3	Heating gas oil	1059.54	176.59	403.21	479.74	9.53
27.06.2005	5	LPG	553.2	92.2	156.62	304.38	0
27.06.2005	6	Residual fuel oil	635.86	57.81	166.84	411.21	18.05
27.06.2005	8	Heavy fuel oil	328.78	0	31.39	297.39	17.43
4.07.2005	1	Euro-Super 95	1245.79	207.63	564	474.16	14.6
4.07.2005	2	Automotive gas oil	1131.05	188.51	413	529.54	10.2
4.07.2005	3	Heating gas oil	1064.42	177.4	403.21	483.81	4.88
4.07.2005	5	LPG	553.44	92.24	156.62	304.58	0.24
4.07.2005	6	Residual fuel oil	645.06	58.64	166.84	419.58	9.2
4.07.2005	8	Heavy fuel oil	316.56	0	31.39	285.17	-12.22
11.07.2005	1	Euro-Super 95	1246.15	207.69	564	474.46	0.36
11.07.2005	2	Automotive gas oil	1131.97	188.66	413	530.31	0.92
11.07.2005	3	Heating gas oil	1081.69	180.28	403.21	498.2	17.27
11.07.2005	5	LPG	553.44	92.24	156.62	304.58	0
11.07.2005	6	Residual fuel oil	647.88	58.9	166.84	422.14	2.82
11.07.2005	8	Heavy fuel oil	329.41	0	31.39	298.02	12.85
18.07.2005	1	Euro-Super 95	1247.67	207.95	564	475.72	1.52
18.07.2005	2	Automotive gas oil	1133.37	188.89	413	531.48	1.4
18.07.2005	3	Heating gas oil	1072.66	178.78	403.21	490.67	-9.03
18.07.2005	5	LPG	553.44	92.24	156.62	304.58	0
